Kinetic,Collision,Radiative,Total, D_Effect
0.0000,    1.323E+02, 2.322E-03, 2.1E+02, 0.000E+00
0.0005,    1.323E+02, 2.322E-03, 1.7E+02, 0.000E+00
1.000E-03, 1.323E+02, 2.322E-03, 1.323E+02, 0.000E+00
1.500E-03, 1.003E+02, 2.513E-03, 1.003E+02, 0.000E+00
2.000E-03, 8.170E+01, 2.621E-03, 8.171E+01, 0.000E+00
2.500E-03, 6.942E+01, 2.689E-03, 6.942E+01, 0.000E+00
3.000E-03, 6.063E+01, 2.737E-03, 6.063E+01, 0.000E+00
3.500E-03, 5.400E+01, 2.771E-03, 5.400E+01, 0.000E+00
4.000E-03, 4.880E+01, 2.798E-03, 4.880E+01, 0.000E+00
4.500E-03, 4.461E+01, 2.818E-03, 4.461E+01, 0.000E+00
5.000E-03, 4.114E+01, 2.835E-03, 4.114E+01, 0.000E+00
6.000E-03, 3.574E+01, 2.859E-03, 3.574E+01, 0.000E+00
7.000E-03, 3.171E+01, 2.875E-03, 3.171E+01, 0.000E+00
8.000E-03, 2.857E+01, 2.887E-03, 2.857E+01, 0.000E+00
9.000E-03, 2.606E+01, 2.896E-03, 2.606E+01, 0.000E+00
1.000E-02, 2.399E+01, 2.903E-03, 2.399E+01, 0.000E+00
1.100E-02, 2.226E+01, 2.909E-03, 2.226E+01, 0.000E+00
1.200E-02, 2.079E+01, 2.913E-03, 2.079E+01, 0.000E+00
1.300E-02, 1.952E+01, 2.917E-03, 1.953E+01, 0.000E+00
1.400E-02, 1.842E+01, 2.921E-03, 1.842E+01, 0.000E+00
1.500E-02, 1.745E+01, 2.924E-03, 1.745E+01, 0.000E+00
1.600E-02, 1.659E+01, 2.927E-03, 1.659E+01, 0.000E+00
1.700E-02, 1.582E+01, 2.929E-03, 1.582E+01, 0.000E+00
1.800E-02, 1.513E+01, 2.932E-03, 1.513E+01, 0.000E+00
1.900E-02, 1.450E+01, 2.934E-03, 1.450E+01, 0.000E+00
2.000E-02, 1.393E+01, 2.936E-03, 1.393E+01, 0.000E+00
2.100E-02, 1.341E+01, 2.938E-03, 1.341E+01, 0.000E+00
2.200E-02, 1.294E+01, 2.940E-03, 1.294E+01, 0.000E+00
2.300E-02, 1.250E+01, 2.942E-03, 1.250E+01, 0.000E+00
2.400E-02, 1.209E+01, 2.944E-03, 1.209E+01, 0.000E+00
2.500E-02, 1.171E+01, 2.947E-03, 1.172E+01, 0.000E+00
2.600E-02, 1.136E+01, 2.949E-03, 1.137E+01, 0.000E+00
